ranking,movie_name,score,score_num
1,肖申克的救赎,9.6,844042
2,霸王别姬,9.5,604496
3,这个杀手不太冷,9.4,809330
4,阿甘正传,9.4,691983
5,美丽人生,9.5,403098
6,千与千寻,9.2,643735
7,辛德勒的名单,9.4,372497
8,泰坦尼克号,9.2,636492
9,盗梦空间,9.2,744124
10,机器人总动员,9.3,488396
11,海上钢琴师,9.2,587540
12,三傻大闹宝莱坞,9.1,656180
13,忠犬八公的故事,9.2,440968
14,放牛班的春天,9.2,440792
15,大话西游之大圣娶亲,9.2,474854
16,教父,9.2,335630
17,龙猫,9.1,408065
18,楚门的世界,9.0,439942
19,乱世佳人,9.2,265473
20,天堂电影院,9.1,303692
21,触不可及,9.1,357602
22,当幸福来敲门,8.9,526746
23,搏击俱乐部,9.0,397373
24,熔炉,9.2,240434
25,无间道,9.0,387247
26,十二怒汉,9.4,166576
27,怦然心动,8.9,528323
28,指环王3：王者无敌,9.1,278893
29,天空之城,9.0,323967
30,少年派的奇幻漂流,9.0,566131
31,罗马假日,8.9,377187
32,星际穿越,9.1,468051
33,鬼子来了,9.1,220863
34,大话西游之月光宝盒,8.9,384835
35,蝙蝠侠：黑暗骑士,9.0,308326
36,两杆大烟枪,9.0,267565
37,活着,9.1,256848
38,飞屋环游记,8.9,486359
39,窃听风暴,9.1,215426
40,飞越疯人院,9.0,271339
41,海豚湾,9.3,178168
42,闻香识女人,8.9,312699
43,V字仇杀队,8.8,401464
44,哈尔的移动城堡,8.8,336509
45,教父2,9.1,180841
46,美丽心灵,8.9,296370
47,指环王2：双塔奇兵,8.9,263269
48,指环王1：魔戒再现,8.9,293835
49,死亡诗社,8.9,267615
50,情书,8.8,362217
51,天使爱美丽,8.7,469036
52,美国往事,9.1,168797
53,控方证人,9.6,79123
54,七宗罪,8.7,423054
55,钢琴家,9.0,196816
56,狮子王,8.9,272089
57,辩护人,9.1,189739
58,饮食男女,9.0,185635
59,被嫌弃的松子的一生,8.9,268544
60,致命魔术,8.8,328242
61,勇敢的心,8.8,288263
62,剪刀手爱德华,8.7,468805
63,小鞋子,9.2,131026
64,音乐之声,8.9,224497
65,低俗小说,8.7,321073
66,入殓师,8.8,310223
67,本杰明·巴顿奇事,8.7,379572
68,沉默的羔羊,8.7,339944
69,黑客帝国,8.8,268805
70,蝴蝶效应,8.7,367351
71,拯救大兵瑞恩,8.8,225937
72,素媛,9.1,164837
73,西西里的美丽传说,8.7,330395
74,玛丽和马克思,8.9,226764
75,心灵捕手,8.7,258856
76,幽灵公主,8.8,225039
77,春光乍泄,8.8,232808
78,第六感,8.8,224472
79,阳光灿烂的日子,8.7,259023
80,让子弹飞,8.7,599052
81,疯狂动物城,9.2,467287
82,大闹天宫,9.2,92562
83,大鱼,8.7,241651
84,重庆森林,8.6,312572
85,射雕英雄传之东成西就,8.7,263602
86,上帝之城,8.9,152508
87,阳光姐妹淘,8.8,256415
88,甜蜜蜜,8.7,223476
89,禁闭岛,8.6,341248
90,致命ID,8.6,302479
91,告白,8.7,324843
92,一一,8.9,147539
93,加勒比海盗,8.6,325822
94,狩猎,9.0,117096
95,布达佩斯大饭店,8.7,290048
96,爱在黎明破晓前,8.7,208587
97,断背山,8.6,303743
98,阿凡达,8.6,506722
99,末代皇帝,8.8,152519
100,风之谷,8.8,167879
101,摩登时代,9.2,82291
102,猫鼠游戏,8.7,207507
103,爱在日落黄昏时,8.7,189311
104,萤火虫之墓,8.7,194817
105,侧耳倾听,8.8,158846
106,哈利·波特与魔法石,8.6,235148
107,驯龙高手,8.7,270800
108,超脱,8.8,162815
109,穿条纹睡衣的男孩,8.8,131355
110,海洋,9.0,95982
111,幸福终点站,8.6,216218
112,消失的爱人,8.7,330228
113,菊次郎的夏天,8.7,169778
114,倩女幽魂,8.6,232949
115,神偷奶爸,8.5,352619
116,燃情岁月,8.8,143850
117,电锯惊魂,8.6,189371
118,七武士,9.2,72261
119,谍影重重3,8.7,171977
120,岁月神偷,8.6,293784
121,恐怖直播,8.7,200329
122,借东西的小人阿莉埃蒂,8.7,204880
123,真爱至上,8.5,295472
124,雨人,8.6,201015
125,贫民窟的百万富翁,8.5,380478
126,虎口脱险,8.9,102494
127,东邪西毒,8.6,236918
128,记忆碎片,8.5,262972
129,杀人回忆,8.6,195729
130,红辣椒,8.8,120224
131,疯狂原始人,8.7,352700
132,怪兽电力公司,8.6,225016
133,卢旺达饭店,8.8,111837
134,黑天鹅,8.5,395756
135,穿越时空的少女,8.6,176114
136,喜宴,8.8,128901
137,魂断蓝桥,8.8,123816
138,猜火车,8.5,237309
139,恋恋笔记本,8.5,264876
140,小森林 夏秋篇,8.9,115413
141,英雄本色,8.7,139293
142,喜剧之王,8.5,287047
143,雨中曲,8.9,88721
144,傲慢与偏见,8.4,283525
145,教父3,8.7,121617
146,完美的世界,9.0,74194
147,纵横四海,8.7,133317
148,玩具总动员3,8.7,183385
149,萤火之森,8.7,144375
150,人工智能,8.6,179837
151,我是山姆,8.8,95563
152,浪潮,8.7,123105
153,香水,8.4,260753
154,7号房的礼物,8.6,159408
155,冰川时代,8.4,254801
156,哈利·波特与死亡圣器(下),8.6,256929
157,花样年华,8.5,229713
158,撞车,8.6,165793
159,朗读者,8.5,266237
160,追随,8.9,74942
161,一次别离,8.7,124382
162,罗生门,8.7,114998
163,荒蛮故事,8.7,118197
164,碧海蓝天,8.7,104098
165,梦之安魂曲,8.7,104896
